,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
0,1.0,A,AFIANZADORA,0.08687808625007715,25,48.55416667119704,402.6665249652323,402.6665249652323,181.03617367813945,46.774303584502505,78.31611507256908,0.0,06-2018,Patrimoñales y Mixta
1,2.0,C,AGROSALTA,0.08577703050305832,3323,66.76459965034077,178.07704246075878,178.07704246075878,155.611324889791,30.899751869127968,294.1131172252959,80.67084871232213,06-2018,Patrimoñales y Mixta
2,3.0,A,ALBA,0.05707011957432646,86,59.0397351751766,362.26253443923565,365.43573521114183,153.04459009707122,27.467349924996164,74.12464191670621,246.05816552825334,06-2018,Patrimoñales y Mixta
3,4.0,A,ALLIANZ,2.512092022486998,3396,30.9159557517141,153.46100102714004,153.58199625406732,125.10572754543017,65.95596798751097,115.00991449168374,13.431324201896379,06-2018,Patrimoñales y Mixta
4,5.0,A,ANTÁRTIDA,0.12452409652797924,799,53.44436944731642,48.39707417022242,113.77936363375471,115.30033390363424,31.288845859930625,-109.78648916185918,1.0794114823027128,06-2018,Patrimoñales y Mixta
5,6.0,A,ARGOS,0.03432767655965101,1102,11.49784753527814,126.5379382296947,128.42950184496638,126.96579398997055,76.90351473560185,5.131305555555556,9.868523262432577,06-2018,Patrimoñales y Mixta
6,7.0,A,ASEGURADORA TOTAL,0.32653602450445346,1381,17.660504984544136,121.9637524632722,124.99037535906616,107.5253941537886,81.7959056817533,0.9079834053539635,25.53539260278113,06-2018,Patrimoñales y Mixta
7,8.0,A,ASEGURADORES DE CAUCIONES,0.10394124173324489,52,59.43466766548797,415.9543117401539,419.4500180844052,116.83524927543418,23.736836967343777,4.161066538930572,4.636362513854872,06-2018,Patrimoñales y Mixta
8,9.0,C,ASOCIACIÓN MUTUAL DAN,0.01414587500629776,0,10.787688611916149,0.0,0.0,0.0,76.35664609534703,540.2971,0.0,06-2018,Patrimoñales y Mixta
9,10.0,A,ASOCIART RC,0.003822828012294434,14,3.7599736202127287,972.5503497390719,972.5503497390719,741.5965762286553,94.88791995980546,377.83892777777777,21.97670849517246,06-2018,Patrimoñales y Mixta
10,11.0,A,ASSEKURANSA,0.02104186538051402,8,31.27953021248518,787.1324234871539,787.1324234871539,480.92212468691207,9.009002075252612,6.5097962962962965,0.0,06-2018,Patrimoñales y Mixta
11,12.0,A,ASSURANT,0.6194437567020823,49,19.245699073400168,785.4155118905412,785.4155118905412,341.5759957564141,79.05270251973394,224.05874570570833,41.59563638662183,06-2018,Patrimoñales y Mixta
12,13.0,A,BBVA CONSOLIDAR,0.6926541523787857,286,47.24625312249555,443.4296488479965,443.4296488479965,154.30233196921208,51.46839952092014,178.2079647353532,262.26852736939895,06-2018,Patrimoñales y Mixta
13,14.0,A,BENEFICIO,0.04010426770900294,11,45.62438967119265,594.278362587991,594.278362587991,306.86180314037,40.157270648976194,62.2608428450936,21.10993969798922,06-2018,Patrimoñales y Mixta
14,15.0,A,BERKLEY,0.5438318229497218,648,18.677350650015438,412.9032412132981,420.26359887098346,302.26983974860605,78.31125747875281,386.07924955172945,25.25553776756986,06-2018,Patrimoñales y Mixta
15,16.0,C,BERNARDINO RIVADAVIA,2.9494781030980852,11208,32.27661008166873,161.50626994235452,161.7929310718351,120.28677349987656,64.77453608209115,219.27537598225175,76.26297535570883,06-2018,Patrimoñales y Mixta
16,17.0,A,BHN,0.26291042144507926,7,24.42319399043779,0.0,0.0,622.6490997129911,74.19319623063365,218.270443657724,4.693592158775387,06-2018,Patrimoñales y Mixta
17,18.0,A,BOSTON,0.5833480467952243,2730,39.23449762119328,105.8932976045457,115.60093401974605,88.16620337451012,46.08550253390121,0.7774369171673992,7.049030975278256,06-2018,Patrimoñales y Mixta
18,19.0,A,BRADESCO,0.0,23,0.8501971165285418,0.0,0.0,0.0,9.926706332272762,363.59436666666664,16.857533165829885,06-2018,Patrimoñales y Mixta
19,20.0,O,CAJA DE TUCUMÁN,0.21928765473682957,780,7.296513943742459,183.89240582375407,183.89240582375407,168.81988712067485,85.29460686086921,339.4264014111435,87.70093949379513,06-2018,Patrimoñales y Mixta
20,21.0,A,CAJA GENERALES,5.7854616615023415,15764,17.415771702674405,141.04795756731883,141.70233009927125,133.0952761608181,76.57802974087252,53.602004503743295,17.967502763432954,06-2018,Patrimoñales y Mixta
21,22.0,A,CALEDONIA,0.235556588240578,299,64.30990734703721,73.98802419329013,73.98802419329013,70.71439610268511,18.131720859745666,-190.97211280107368,67.20846840186073,06-2018,Patrimoñales y Mixta
22,23.0,A,CAMINOS PROTEGIDOS,0.03438559593074829,59,12.842962938650185,749.896136301595,749.896136301595,533.4608412385817,66.48244198499718,151.65137222222222,129.9992973720702,06-2018,Patrimoñales y Mixta
23,24.0,A,CARDIF,0.7405922299635147,43,24.263081365821446,718.1370462497506,718.1370462497506,248.62959705728264,72.47107134748532,73.94832015264184,64.23025765416662,06-2018,Patrimoñales y Mixta
24,25.0,A,CARUSO,0.350631734516533,241,4.025143238137539,854.6010719521039,854.6010719521039,780.7719703604436,90.62993475591253,242.3836006228076,333.73576927687776,06-2018,Patrimoñales y Mixta
25,26.0,A,CESCE,4.167569814553979e-06,4,35.98799921961333,0.0,0.0,0.0,56.107401979564855,33.069322222222226,0.0,06-2018,Patrimoñales y Mixta
26,27.0,A,CHUBB SEGUROS,0.8883948199102358,826,50.29971784098364,336.9448226670368,336.9448226670368,154.9495212994206,42.29662556362106,319.81317029139717,11.708358431388891,06-2018,Patrimoñales y Mixta
27,28.0,A,CNP,0.24773802189883412,22,11.902461033104892,0.0,0.0,206.08362639357688,82.16052501864247,41.54682822219689,8.632320526257926,06-2018,Patrimoñales y Mixta
28,29.0,E,COFACE,0.05608082162628116,1,42.61273852450923,267.52615997134194,267.52615997134194,104.42430439976643,45.93786161495837,285.07463662103976,4.172877777900453,06-2018,Patrimoñales y Mixta
